route_id,origin,destination,distance_nm,transit_days,transshipments,route_type,base_freight_usd
R001,Tokyo,Sydney,4860,12,0,Direct,1500
R002,Tokyo,Sydney,5200,15,1,Alternative,1300
R003,Tokyo,Hamburg,11200,30,1,Standard,2800
R004,Tokyo,Hamburg,11800,34,2,Alternative,2400
R005,Sydney,Los Angeles,6500,18,0,Direct,2200
R006,Sydney,Los Angeles,7100,22,1,Alternative,1950
R007,Hamburg,New York,3800,11,0,Direct,1800
R008,Hamburg,New York,4200,14,1,Alternative,1600
R009,Santos,Rotterdam,5300,16,0,Direct,2100
R010,Santos,Rotterdam,5800,19,1,Alternative,1850
R011,Cape Town,Mumbai,7948,21,0,Direct,2718
R012,Durban,New York,13621,39,1,Standard,5066
R013,Cape Town,Valparaiso,9497,41,2,Alternative,2484
R014,Long Beach,Seattle,2132,5,0,Direct,900
R015,Durban,Vancouver,14804,43,1,Standard,5212
R016,Chennai,Sydney,7971,32,1,Alternative,2912
R017,New York,Mombasa,14478,33,0,Direct,5162
R018,Tokyo,Busan,1838,9,2,Standard,900
R019,Colombo,Jebel Ali,3785,19,2,Alternative,1273
R020,Busan,Port Klang,5165,13,0,Direct,2196
R021,Buenos Aires,Santos,2758,10,1,Standard,922
R022,Sydney,Mumbai,8423,31,1,Alternative,2361
R023,Barcelona,Cape Town,9556,23,0,Direct,3638
R024,Jebel Ali,Shanghai,6484,21,1,Standard,2327
R025,Dubai,Barcelona,6196,24,1,Alternative,2049
R026,Dubai,New York,13573,32,0,Direct,4750
R027,Vancouver,Jebel Ali,15254,47,2,Standard,5704
R028,Rotterdam,Singapore,10461,39,2,Alternative,3671
R029,Valparaiso,Mumbai,18451,46,0,Direct,6500
R030,Durban,Tokyo,14017,47,2,Standard,4661
R031,Vancouver,Mumbai,16594,52,1,Alternative,5764
R032,London,Colombo,8540,20,0,Direct,3113
R033,Busan,Barcelona,12750,43,1,Standard,4795
R034,Panama City,Vancouver,7297,28,1,Alternative,2284
R035,Singapore,Long Beach,20108,47,0,Direct,6500
