pricing_id,route_id,fuel_surcharge_usd,port_charge_usd,demand_factor,risk_surcharge_usd,target_margin_percent
P001,R001,100,75,1.0,50,15
P002,R002,110,80,0.95,60,15
P003,R003,105,70,1.05,55,15
P004,R004,100,80,1.0,50,15
P005,R005,95,70,1.0,45,15
P006,R006,105,75,0.95,55,15
P007,R007,90,65,1.05,45,15
P008,R008,100,70,0.95,50,15
P009,R009,85,60,1.1,40,15
P010,R010,90,65,1.05,45,15
P011,R011,110,60,0.95,51,15
P012,R012,138,75,1.0,77,15
P013,R013,117,90,1.05,84,15
P014,R014,81,60,1.1,39,15
P015,R015,144,75,1.05,80,15
P016,R016,110,75,1.0,66,15
P017,R017,142,60,1.1,64,15
P018,R018,79,90,1.1,69,15
P019,R019,89,90,1.05,73,15
P020,R020,96,60,1.05,45,15
P021,R021,84,75,0.95,56,15
P022,R022,112,75,1.05,67,15
P023,R023,118,60,1.05,54,15
P024,R024,102,75,1.05,63,15
P025,R025,101,75,1.1,62,15
P026,R026,138,60,1.05,62,15
P027,R027,146,90,1.05,96,15
P028,R028,122,90,1.05,86,15
P029,R029,162,60,1.0,72,15
P030,R030,140,90,0.95,93,15
P031,R031,153,75,1.0,83,15
P032,R032,113,60,1.0,52,15
P033,R033,134,75,1.05,76,15
P034,R034,106,75,1.0,65,15
P035,R035,171,60,1.05,75,15
P036,R036,118,90,1.0,84,15
P037,R037,137,75,1.0,77,15
P038,R038,87,60,1.1,42,15
P039,R039,133,75,1.0,75,15
P040,R040,76,90,0.95,68,15
P041,R041,81,60,1.0,40,15
P042,R042,125,75,1.0,72,15
P043,R043,167,75,0.95,89,15
P044,R044,94,60,1.05,45,15
P045,R045,155,90,1.05,99,15
P046,R046,180,90,1.05,109,15
P047,R047,78,60,1.05,38,15
P048,R048,122,90,0.95,86,15
P049,R049,85,90,1.1,71,15
P050,R050,143,60,1.05,64,15
P051,R051,139,75,1.0,78,15
P052,R052,160,90,1.1,101,15
P053,R053,127,60,1.0,58,15
P054,R054,129,75,1.05,73,15
P055,R055,178,90,1.05,108,15
P056,R056,153,60,1.1,68,15
P057,R057,138,75,1.0,77,15
P058,R058,134,90,1.1,91,15
P059,R059,139,60,0.95,63,15
P060,R060,122,90,0.95,86,15
P061,R061,127,90,1.1,88,15
P062,R062,173,60,1.0,76,15
P063,R063,127,90,1.1,88,15
P064,R064,136,75,1.1,76,15
P065,R065,145,60,1.1,65,15
P066,R066,161,75,0.95,86,15
P067,R067,106,75,1.0,64,15
P068,R068,138,60,1.05,62,15
P069,R069,111,75,1.0,66,15
P070,R070,139,90,0.95,93,15
P071,R071,105,60,1.1,49,15
P072,R072,119,75,1.1,70,15
P073,R073,221,75,1.0,110,15
P074,R074,139,60,1.1,63,15
P075,R075,83,75,0.95,55,15
P076,R076,109,90,1.1,81,15
P077,R077,102,60,0.95,48,15
P078,R078,175,75,1.0,92,15
P079,R079,125,75,1.1,72,15
P080,R080,156,60,0.95,69,15
P081,R081,116,75,1.0,68,15
P082,R082,78,90,1.1,68,15
P083,R083,123,60,0.95,56,15
P084,R084,163,90,1.05,102,15
P085,R085,125,75,1.05,72,15
P086,R086,196,60,1.1,85,15
P087,R087,135,75,1.05,76,15
P088,R088,157,90,1.05,100,15
P089,R089,163,60,0.95,72,15
P090,R090,153,90,1.1,98,15
P091,R091,196,75,1.0,100,15
P092,R092,176,60,1.0,77,15
P093,R093,82,75,0.95,55,15
P094,R094,124,90,0.95,87,15
P095,R095,120,60,1.0,55,15
P096,R096,95,90,1.1,75,15
P097,R097,155,75,0.95,84,15
P098,R098,130,60,1.05,59,15
P099,R099,135,90,1.1,91,15
P100,R100,99,90,0.95,77,15
P101,R101,128,60,0.95,58,15
P102,R102,188,75,0.95,97,15
P103,R103,115,75,1.05,68,15
P104,R104,112,60,1.0,52,15
P105,R105,81,75,1.05,54,15
P106,R106,104,75,1.05,64,15
P107,R107,159,60,1.0,71,15
P108,R108,92,75,1.1,59,15
P109,R109,207,75,1.0,105,15
P110,R110,99,60,1.05,47,15
P111,R111,82,90,1.05,70,15
P112,R112,109,90,1.1,81,15
P113,R113,76,60,1.1,37,15
P114,R114,106,75,1.0,64,15
P115,R115,185,90,1.05,111,15
P116,R116,123,60,1.0,56,15
P117,R117,103,90,1.1,78,15
P118,R118,109,90,1.05,81,15
P119,R119,164,60,0.95,73,15
P120,R120,173,90,1.1,106,15
P121,R121,111,90,1.0,81,15
P122,R122,159,60,1.1,71,15
P123,R123,100,75,0.95,62,15
P124,R124,109,75,1.05,66,15
P125,R125,110,60,1.05,51,15
P126,R126,131,75,1.05,75,15
P127,R127,165,75,1.1,88,15
P128,R128,89,60,1.05,43,15
P129,R129,93,90,1.0,74,15
P130,R130,159,90,0.95,101,15
P131,R131,118,60,1.0,54,15
P132,R132,131,75,1.1,74,15
P133,R133,184,75,0.95,96,15
P134,R134,81,60,1.05,39,15
P135,R135,121,90,0.95,85,15
P136,R136,186,90,0.95,111,15
P137,R137,127,60,1.0,58,15
P138,R138,127,90,1.05,88,15
P139,R139,108,75,1.05,65,15
P140,R140,114,60,1.1,53,15
P141,R141,121,90,1.0,85,15
P142,R142,115,90,1.0,83,15
P143,R143,92,60,1.1,44,15
P144,R144,77,90,1.0,68,15
P145,R145,108,75,1.0,65,15
P146,R146,238,60,1.0,102,15
P147,R147,104,75,1.05,63,15
P148,R148,111,90,1.1,81,15
P149,R149,104,60,1.0,48,15
P150,R150,179,75,1.05,94,15
P151,R151,130,75,1.1,74,15
P152,R152,103,60,1.05,48,15
P153,R153,123,75,1.05,71,15
P154,R154,90,90,1.0,73,15
P155,R155,174,60,1.0,77,15
P156,R156,140,75,1.1,78,15
P157,R157,128,75,1.1,73,15
P158,R158,113,60,1.05,52,15
P159,R159,168,90,0.95,104,15
P160,R160,165,75,0.95,88,15
P161,R161,121,60,0.95,55,15
P162,R162,214,75,0.95,108,15
P163,R163,131,90,1.0,89,15
P164,R164,138,60,1.05,62,15
P165,R165,125,90,1.0,87,15
P166,R166,162,90,0.95,102,15
P167,R167,136,60,1.0,61,15
P168,R168,138,75,1.1,77,15
P169,R169,163,75,1.0,87,15
P170,R170,174,60,0.95,76,15
P171,R171,134,90,1.1,91,15
P172,R172,109,90,1.05,80,15
P173,R173,129,60,0.95,59,15
P174,R174,121,75,1.1,70,15
P175,R175,104,75,1.1,64,15
P176,R176,135,60,0.95,61,15
P177,R177,172,90,1.0,106,15
P178,R178,124,90,1.1,87,15
P179,R179,118,60,1.05,54,15
P180,R180,123,75,1.0,71,15
P181,R181,147,90,1.0,96,15
P182,R182,156,60,1.05,69,15
P183,R183,117,75,1.1,69,15
P184,R184,122,90,1.0,86,15
P185,R185,99,60,1.1,47,15
P186,R186,157,75,1.0,85,15
P187,R187,164,90,0.95,103,15
P188,R188,170,60,0.95,75,15
P189,R189,150,75,1.05,82,15
P190,R190,155,90,1.05,99,15
P191,R191,124,60,1.0,57,15
P192,R192,73,90,1.05,66,15
P193,R193,123,90,0.95,86,15
P194,R194,110,60,0.95,51,15
P195,R195,175,75,1.1,92,15
P196,R196,107,75,0.95,65,15
P197,R197,98,60,1.05,46,15
P198,R198,76,90,1.1,67,15
P199,R199,187,75,0.95,97,15
P200,R200,190,60,1.05,83,15
P201,R201,138,75,1.05,77,15
P202,R202,80,90,0.95,69,15
P203,R203,151,60,1.0,67,15
P204,R204,95,75,0.95,60,15
P205,R205,105,90,1.05,79,15
P206,R206,92,60,0.95,44,15
P207,R207,129,75,1.1,73,15
P208,R208,103,75,1.0,63,15
P209,R209,100,60,1.05,47,15
P210,R210,125,75,1.1,72,15
P211,R211,125,90,1.0,87,15
P212,R212,143,60,0.95,64,15
P213,R213,194,75,1.0,100,15
P214,R214,122,90,0.95,86,15
P215,R215,153,60,1.0,68,15
P216,R216,119,90,1.1,85,15
P217,R217,127,90,1.1,88,15
P218,R218,160,60,1.0,71,15
P219,R219,120,75,0.95,70,15
P220,R220,101,75,1.1,63,15
P221,R221,143,60,1.1,64,15
P222,R222,121,75,1.05,70,15
P223,R223,165,75,0.95,88,15
P224,R224,78,60,1.05,38,15
P225,R225,114,75,1.1,68,15
P226,R226,74,75,1.05,51,15
P227,R227,75,60,1.05,37,15
P228,R228,106,75,1.05,64,15
P229,R229,139,75,1.0,78,15
P230,R230,126,60,0.95,58,15
P231,R231,93,75,0.95,59,15
P232,R232,73,90,1.1,66,15
P233,R233,136,60,1.05,61,15
